"","K_sat","Q_sat","E_sym","L_sym","K_sym","Q_sym","R14","Lambda14"
"9001",221.573816854245,-130.426797628429,37.2628274288285,63.4605611978314,-41.1454292310071,10.8949243907091,11.97846800473,371.148630240563
"9002",224.470055961889,-109.585919736739,33.705163672357,41.1604335947469,-65.480943817052,539.739357416093,12.05600001,416.652367992561
"9003",231.2009285414,-113.315235642434,30.2755214157474,40.1249448987415,-76.7923454864238,581.423473990806,12.0840340494947,444.145438478441
"9004",253.712006308618,-92.0957049494372,31.9175244839243,80.1042222081586,16.3415264260282,-77.9455912321767,12.3329394139703,490.023070483681
"9005",220.895477213117,-114.911080821132,35.2856199145831,38.3933096169343,-155.047102265748,231.717359346198,11.5135086056745,290.17814311832
"9006",242.911722427291,-84.3014512107034,33.9446828539206,63.8241384503946,-21.8942537928727,144.424455511071,12.2759580246337,458.872754205082
"9007",263.232256930273,-67.2052853443208,32.8693478565633,52.5045279588487,-116.376029715149,160.140168213965,12.2618934936567,473.312472785192
"9008",212.399887475368,-60.0931402537961,33.5600775607429,60.6582351311175,36.6084707669585,253.852284172252,12.0352592634638,393.922225749924
"9009",236.335722022611,-71.3797927721611,35.9831699753914,52.5764996905144,-118.783043446139,265.975888259285,12.1308935362599,427.917142814714
"9010",256.74723080212,-161.393177249982,31.3585990994434,41.4271541813748,-119.319484365281,450.952936998521,12.0933539156393,437.0895044172
"9011",243.83090953338,-103.382213705673,30.2074489907943,43.095510624604,-79.1359042066308,365.027630505849,12.1343446139122,459.016407443753
"9012",209.016489038227,-121.899538009953,34.2627532318888,50.3717447160551,-78.0655082360232,100.446614017527,11.7546175819905,336.723708791181
"9013",251.301912075234,-62.5523034630963,34.0871133453403,55.3530639496578,-81.0312840536704,41.7442630747106,12.2486728576546,462.986231510743
"9014",229.894159977582,-26.9467093934616,36.1325631182485,39.0538204415965,-153.69129716079,284.92944377281,11.9241063582925,383.802356882816
"9015",230.207396169439,-125.885340711541,34.7073883153875,75.744780208499,20.7499823913955,69.3130162663506,12.071162610333,394.036798350952
"9016",207.536512207231,-86.4085936799956,31.9889983942692,49.6388278409906,-18.0674335131253,227.816403070649,11.952431901128,390.109133747245
"9017",257.194038524485,-153.482474221764,32.7494784652398,48.9390684273661,-87.7109179916994,600.870719044296,12.2645160490686,472.426791297321
"9018",226.584379042199,-132.11953254752,32.8427618028688,56.4368909571326,-61.7609618688254,103.499423307568,11.9862582654877,391.953762599766
"9019",205.92778155274,-83.7698403126928,34.2601399255792,57.6310692075917,18.2585704362629,181.833000299893,11.9326654156924,369.74835614821
"9020",243.911254427473,-133.336562250354,33.0363730056843,43.9733124173867,-103.914156464202,480.068014616082,12.1210462330962,437.559042756612
"9021",263.735207201168,-152.401124601049,32.1130170393557,73.6952305932616,-11.3085034690892,122.539419882685,12.3209486495209,480.839860365581
"9022",277.173420932946,-162.706416840686,30.4763130871262,38.4554154181465,-174.461758361473,359.322575752006,11.912640313391,398.301547950366
"9023",235.242242199253,-129.760336835126,33.0080242641518,38.5458842031281,-134.191377259362,308.296295465335,11.8156555828371,366.13032662295
"9024",246.372932196794,-107.602753934537,31.8995086686311,45.2075944272451,-105.765731126731,242.283682044978,12.0635045502631,428.993591674829
"9025",256.08019171298,-82.9906918199425,35.0363656025377,78.2333837204208,-4.22143364032192,35.9503448074338,12.3820848609663,484.556213460488
"9026",232.615913087543,-76.1921996299855,32.8479187905909,46.4967643982845,-71.3977278381213,132.929219591366,12.062289935135,421.592285823582
"9027",264.716818741132,-94.1156712632265,35.8599268447609,59.0019035873883,-106.337528525646,356.542625754863,12.3795559383984,490.518279081968
"9028",227.717772960981,-111.339832395563,28.5423114868324,36.8642771647318,-75.9909748402876,478.493087465762,11.9631856675237,433.925503265005
"9029",237.182539530594,-135.191962490334,35.9000501358512,59.3599734368272,-82.3368164012575,34.3492927518163,12.0525365246752,395.224562228502
"9030",231.241087974328,-55.5410788995322,33.4855394143668,45.1989994223927,-109.478746092931,191.450765774885,12.0067103146975,403.466145652162
"9031",243.721461772491,-100.063218258893,34.1260682891562,53.6494400066128,-34.2113327977473,502.999674250864,12.2601443098732,460.428723319074
"9032",252.799856461475,-70.3716734843021,32.9374131314549,71.1616324846732,-14.7209197650862,1.84693810195207,12.3763812712751,492.415116933157
"9033",225.916391189957,-108.382126619549,34.3276234431896,57.2253924441044,-54.0482142152173,251.948740050183,12.0760425440556,410.415507781414
